no,store,revenue,empty
1,Walmart,$459.51,
2,Amazon.com,$217.79,
3,Costco Wholesale,$140.41,
4,The Home Depot,$140.06,
5,The Kroger Co.,$136.49,
6,Walgreens Boots Alliance,$108.34,
7,Target,$104.62,
8,CVS Health Corporation,$93.36,
9,Lowe's Companies,$87.73,
10,Albertsons Companies,$71.87,
11,Apple Stores / iTunes,$64.84,
12,Royal Ahold Delhaize USA,$53.66,
13,Publix Super Markets,$48.00,
14,Best Buy,$47.76,
15,TJX Companies,$38.08,
16,Aldi,$37.01,
17,Dollar General,$34.23,
18,H.E. Butt Grocery,$31.00,
19,Dollar Tree,$25.93,
20,Ace Hardware,$24.67,
21,Macy's,$24.23,
22,7-Eleven,$23.84,
23,AT&T Wireless,$20.66,
24,Meijer,$20.06,
25,Verizon Wireless,$19.78,
26,Ross Stores,$18.89,
27,Kohl's,$18.50,
28,Wakefern / ShopRite,$17.86,
29,Rite Aid,$17.49,
30,BJ's Wholesale Club,$16.67,
31,Dell Technologies,$14.03,
32,Gap,$13.92,
33,Nordstrom,$13.74,
34,Menards,$13.14,
35,Oâ€™Reilly Auto Parts,$12.88,
36,Tractor Supply Co.,$12.64,
37,AutoZone,$12.41,
38,Dick's Sporting Goods,$12.03,
39,Hy Vee,$12.02,
40,Wayfair,$11.25,
41,Health Mart Systems,$11.23,
42,Wegmans Food Market,$11.23,
43,Qurate Retail,$10.97,
44,Giant Eagle,$10.43,
45,Alimentation Couche-Tard,$10.27,
46,Sherwin-Williams,$10.15,
47,Burlington,$9.34,
48,J.C. Penney Company,$8.94,
49,WinCo Foods,$8.92,
50,Chewy.com,$8.89,
51,Good Neighbor Pharmacy,$8.66,
52,Ulta Beauty,$8.63,
53,Williams-Sonoma,$8.01,
54,Army and Air Force Exchange Service,$7.72,
55,PetSmart,$7.42,
56,Bass Pro,$6.93,
57,Bath & Body Works,$6.92,
58,Southeastern Grocers,$6.76,
59,AVB Brandsource,$6.54,
60,Academy Sports,$6.46,
61,Staples,$6.40,
62,Dillard's,$6.38,
63,Hobby Lobby Stores,$6.27,
64,Bed Bath & Beyond,$6.20,
65,Big Lots,$6.15,
66,Signet Jewelers,$6.14,
67,Foot Locker,$6.11,
68,Sprouts Farmers Market,$6.09,
69,Sephora (LVMH),$6.01,
70,Ikea North America Services,$5.93,
71,Discount Tire,$5.91,
72,Camping World,$5.83,
73,Petco,$5.65,
74,True Value Co.,$5.63,
75,Office Depot,$5.54,
76,Victoria's Secret,$5.17,
77,Michaels Stores,$5.01,
78,Piggly Wiggly,$4.96,
79,Stater Bros Holdings,$4.77,
80,My Demoulas,$4.74,
81,Advance Auto,$4.73,
82,Harbor Freight Tools,$4.73,
83,Exxon Mobil Corporation,$4.59,
84,Hudson's Bay,$4.50,
85,Save-A-Lot,$4.39,
86,American Eagle Outfitters,$4.34,
87,Total Wine & More,$4.31,
88,Defense Commissary Agency,$4.30,
89,Ingles,$4.25,
90,Weis Markets,$4.22,
91,Casey's General Store,$4.22,
92,Tapestry,$4.12,
93,Smart & Final,$4.09,
94,Lululemon,$4.06,
95,Shell Oil Company,$3.99,
96,Golub,$3.98,
97,Save Mart,$3.80,
98,RH,$3.76,
99,Urban Outfitters,$3.69,
100,Barnes & Noble,$3.66